ticker,name,market
3291.T,飯田グループホールディングス,Prime
3293.T,アズマハウス,Standard
3294.T,イーグランド,Standard
3297.T,東武住販,Standard
3299.T,ムゲンエステート,Standard
3300.T,アンビション　ＤＸ　ホールディングス,Growth
3302.T,帝国繊維,Prime
3306.T,日本製麻,Standard
330A.T,ＴａｌｅｎｔＸ,Growth
3315.T,日本コークス工業,Prime
3317.T,フライングガーデン,Standard
331A.T,メディックス,Standard
3320.T,クロスプラス,Standard
3321.T,ミタチ産業,Standard
3323.T,レカム,Standard
3326.T,ランシステム,Standard
3329.T,東和フードサービス,Standard
332A.T,ミーク,Growth
3333.T,あさひ,Prime
3349.T,コスモス薬品,Prime
334A.T,ビジュアル・プロセッシング・ジャパン,Growth
3350.T,メタプラネット,Standard
3352.T,バッファロー,Standard
3353.T,メディカル一光グループ,Standard
3355.T,クリヤマホールディングス,Standard
3358.T,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,Standard
3359.T,ｃｏｔｔａ,Growth
335A.T,ミライロ,Growth
3360.T,シップヘルスケアホールディングス,Prime
3361.T,トーエル,Standard
336A.T,ダイナミックマッププラットフォーム,Growth
3370.T,フジタコーポレーション,Standard
3371.T,ソフトクリエイトホールディングス,Prime
3372.T,関門海,Standard
3374.T,内外テック,Standard
3375.T,ＺＯＡ,Standard
3377.T,バイク王＆カンパニー,Standard
3382.T,セブン＆アイ・ホールディングス,Prime
3386.T,コスモ・バイオ,Standard
3387.T,クリエイト・レストランツ・ホールディングス,Prime
